Agbopura,251.96,1650,850,420
Ahangama,134.17,1050,550,260
Ahungalla,73.99,700,350,180
Airport - Katunayake,33.44,350,200,100
Akurala,87.83,750,400,200
Alawathupitiya,26.5,300,150,80
Alawwa,65.67,600,300,160
Aluthgama,59.67,600,300,140
Aluthoya,245.31,1600,800,400
Ambalangoda,83.14,750,400,180
Ambanpola,150.26,1150,600,280
Ambepussa,56.22,550,300,140
Ambewela,221.5,1500,750,380
Anawilundawa,99.69,850,450,220
Andadola,79.74,700,350,180
Angampitiya,40.04,400,200,100
Angulana,15.95,200,100,60
Anuradhapura,204.94,1450,750,360
A'Pura New Town,202.06,1400,700,360
Arachchikattuw,96.15,850,450,220
Araviyanagar,320,1950,1000,480
Arukwatta,38.74,400,200,100
Avissawella,61.18,600,300,160
Awkana,176.08,1300,650,320
Badulla,292.39,1800,900,460
Balana,101.07,850,450,220
Balapitiya,78.21,700,350,180
Bambalapitiya,5.13,100,50,20
Bandarawela,259.15,1650,850,420
Bangadeniya,91.69,800,400,200
Baselin Road,3.78,100,50,20
Baththuluoya,101.93,850,450,220
Baticaloa,349.69,2050,1050,520
Batuwatta,19.08,200,100,60
Beliatta,183.23,1300,650,340
Bemmulla,31.91,350,200,80
Bentota,60.97,600,300,160
Beruwala,54.33,550,300,140
Bmbarenda,170.06,1250,650,320
Bolawatta,48.88,500,250,120
Boralessa,51.38,500,250,140
Bothale,54.43,550,300,140
Bujjomuwa,61.87,600,300,160
Bulugahagoda,20.73,250,150,60
Bussa,105.74,900,450,220
Chawakachcheri,379.99,2200,1100,560
Chilaw,82.46,750,400,180
China Bay,290.31,1800,900,460
Chunnakam,405.24,2300,1150,580
Cotta Road,5.45,100,50,20
Daraluwa,29.92,300,150,80
Dehiwala,9.97,150,100,40
Dematagoda,3.67,100,50,20
Demodara,277.72,1750,900,440
Dewapuram,330.1,2000,1000,500
Diyathalawa,253.08,1650,850,420
Dodanduwa,101.53,850,450,220
Egoda Uyana,22.57,250,150,60
Eliphant Pass,342.76,2050,1050,520
Ella,271.59,1750,900,440
Eluthumattuwal,365.11,2150,1100,540
Enderamulla,11.7,150,100,40
Eravur,337.15,2000,1000,500
Galboda,152.86,1150,600,300
Galgamuwa,160.24,1200,600,300
Galle,113.89,950,500,240
Gallella,264.12,1700,850,420
Galoya Jnc,226.68,1550,800,380
Gammana,43.1,450,250,120
Gampaha,27.54,300,150,80
Gampola,126.93,1000,500,260
Ganegoda,46.21,500,250,120
Ganemulla,22.52,250,150,60
Ganewatta,116.72,950,500,240
Gangoda,93.81,800,400,200
Gelioya,119.54,950,500,240
Gintota,108.31,900,450,220
Girambe,79.29,700,350,180
Godagama,30.12,300,150,80
Great Western,199.31,1400,700,360
Habaraduwa,127.39,1000,500,260
Habarana,210.24,1450,750,360
Hali Ela,286.6,1800,900,460
Haputale,247.97,1600,800,400
Hathares Kotuw,223.3,1500,750,380
Hatton,174.91,1250,650,320
Heeloya,265.37,1700,850,420
Heen - Patti,35.67,400,200,100
Hettimulla,56.52,550,300,140
Hikkaduwa,95.14,800,400,200
Hingurakgoda,243.76,1600,800,400
Hiriyala,123.46,1000,500,240
Homagama,26.51,300,150,80
Horape,14.04,150,100,40
Horiwila,199.27,1400,700,360
Hospital-Homag,24.3,250,150,80
Hunupitiya,10.03,150,100,40
Idalgashinna,240.56,1600,800,400
Ihala Kotte,96.08,850,450,220
Ihala Watawala,165.31,1200,600,300
Induruwa,64.95,600,300,160
Industrial Zone,32.33,350,200,80
Inguruoya,147.31,1100,550,280
Inuvil,402.92,2300,1150,580
Irattaperiyakula,249.04,1650,850,420
Irukkulampiddi,128.9,1000,500,260
Ja-Ela,22.15,250,150,60
Jaffna,395.83,2250,1150,580
Jayanthipura,249.07,1650,850,420
Kadadasi Nagar,315.77,1900,950,480
Kadigamuwa,90.24,800,400,200
Kadugannawa,105.54,900,450,220
Kadugoda,48.67,500,250,120
Kahawe,89.3,800,400,200
Kakkapalliya,76.42,700,350,180
Kalawewa,179.28,1300,650,320
Kalkuda,322.04,1950,1000,500
Kaluthara South,41.87,450,250,120
Kaluthara North,39.88,400,200,100
Kamburugamuw,151.36,1150,600,280
Kandana,18.83,200,100,60
Kandegoda,81.46,750,400,180
Kandy,120.74,950,500,240
Kankasnthurai,413.29,2350,1200,600
Kantale,256.38,1650,850,420
Kapuwatta,20.56,250,150,60
Kathaluwa,131.29,1050,550,260
Kattuwa,42.14,450,250,120
Katugastota,126.29,1000,500,260
Katugoda,118.28,950,500,240
Katukurunda,44.68,450,250,120
Katunayake,32.45,350,200,80
Keenawala,41.63,450,250,120
Kekanadura,163.17,1200,600,300
Kekirawa,188.45,1350,700,340
Kelaniya,6.87,100,50,20
Kilinochchi,330.32,2000,1000,500
Kinigama,261.45,1700,850,420
Kirulapana,9.26,100,50,40
Kithal Ella,269.73,1700,850,440
Kochchikade,45.05,450,250,120
Kodikamam,372.68,2150,1100,540
Koggala,129.11,1000,500,260
Kokavil,398.64,2300,1150,580
Kollupitiya,3.12,100,50,20
Kompannavidiy,1.73,100,50,20
Kondavil,400.4,2300,1150,580
Konwewa,149.06,1150,600,280
Koralawella,20.74,250,150,60
Kosgoda,71.08,650,350,160
Koshinna,117.36,950,500,240
Kotagala,179.97,1300,650,320
Kudahakapola,25.18,250,150,80
Kudawewa,67.78,650,350,160
Kumarakanda,99.6,850,450,220
Kumbalgama,139.2,1050,550,280
Kurana,35.31,350,200,100
Kurunegala,95.27,800,400,200
Laksha Uyana,252.15,1650,850,420
Liyanagemulla,30.12,300,150,80
Lunawa,17.37,200,100,60
Lunuwila,54.35,550,300,140
Madampagama,85.87,750,400,200
Madampe,72,650,350,160
Madu Road,273.91,1750,900,440
Madurankuliya,121.67,950,500,240
Magalegoda,34.16,350,200,100
Maggona,51.16,500,250,140
Maha Induruwa,67.64,650,350,160
Mahaiyawa,122.4,1000,500,240
Maharagama,16.36,200,100,60
Maho Jnc,138.59,1050,550,280
Makumbura,22.5,250,150,60
Mallakam,406.99,2300,1150,580
Manampitiya,269.58,1700,850,440
Mangalaeliya,116.73,950,500,240
Mankulam,299.56,1850,950,460
Mannar,309.98,1900,950,480
Manuwangama,88.83,800,400,200
Maradana,1.9,100,50,20
Matale,148.61,1150,600,280
Matara,156.82,1150,600,300
Mathottam,295.08,1850,950,460
Mavittapuram,411.13,2350,1200,580
Medagama,221.2,1500,750,380
Medawachchiya,230.92,1550,800,400
Medigama,137.67,1050,550,260
Meegammana,130.69,1000,500,260
Megoda,31.64,350,200,80
Mesalai,376.02,2200,1100,560
Mihintale,219.94,1500,750,380
Mihintale Jnc,206.44,1450,750,360
Minneriya,236.14,1550,800,400
Mirigama,50.27,500,250,140
Mirissa,147.56,1100,550,280
Mirusuwil,369.78,2150,1100,540
Mollipothana,268.49,1700,850,440
Moragollagama,159.94,1200,600,300
Morakele,43.9,450,250,120
Moratuwa,18.96,200,100,60
Mount Lavinia,12.22,150,100,40
Mundalama,109.77,900,450,240
Murukandi,316.43,1950,1000,480
Murukkan,286.74,1800,900,460
Muthtettugala,97.76,850,450,220
Nagollagama,129.05,1000,500,260
Nailiya,91.67,800,400,200
Nanuoya,207.06,1450,750,360
Narahenpita,7.52,100,50,20
Naththandiya,62.2,600,300,160
Navalapitiya,141.52,1100,550,280
Navatkuli,388.64,2250,1150,560
Navinna,15.19,200,100,40
Negama,171.81,1250,650,320
Negambo,38.85,400,200,100
Nelumpokuna,70.69,650,350,160
Neriyakulam,243.7,1600,800,400
Noor Nagar,139.1,1050,550,280
Nugegoda,11.05,150,100,40
Ohiya,231.64,1550,800,400
Omanthei,267.13,1700,850,440
Padukka,37.18,400,200,100
Palai,357.72,2100,1050,540
Palavi,130.47,1000,500,260
Pallethalawinna,127.66,1000,500,260
Pallewela,43.91,450,250,120
Palugaswewa,203.2,1450,750,360
Panadura,26.26,300,150,80
Panagoda,28.29,300,150,80
Panaliya,77.87,700,350,180
Pannipitiya,19.01,200,100,60
Paranthan,335.75,2000,1000,500
Parasangaswew,217.73,1500,750,380
Pathanpaha,137.42,1050,550,260
Pathegamgoda,76.11,700,350,180
Pattipola,224.93,1500,750,380
Payagala North,48.05,500,250,120
Payagala South,49.26,500,250,140
Pengiriwatta,12.6,150,100,40
Peradeniya Jnc,114.85,950,500,240
Perakum Uyana,254.47,1650,850,420
Perakumpura,212.21,1450,750,380
Peralanda,17.08,200,100,60
Pesalai,324.91,1950,1000,500
Piliduwa,158.39,1200,600,300
Pilimathalawa,109.45,900,450,240
Pinnawala,42.05,450,250,120
Pinwatta,29.48,300,150,80
Piyadigama,109.98,900,450,240
Piyagama,72.52,650,350,160
Polgahawela,73.83,650,350,180
Polonnaruwa,259.7,1700,850,420
Polwathumodar,146.26,1100,550,280
Pothuhera,86.27,750,400,200
Pulichchakulam,106.2,900,450,220
Puliyankulama,278.31,1750,900,440
Punani,301.51,1850,950,460
Punewa,237.65,1600,800,400
Pungankulam,393.66,2250,1150,580
Puttalam,135.12,1050,550,260
Radella,202.71,1400,700,360
Ragama,15.55,200,100,40
Rambukkana,84.44,750,400,200
Ranamukgama,155.96,1150,600,300
Randenigama,141.92,1100,550,280
Rathgama,102.56,850,450,220
Ratmalana,14.02,150,100,40
Richmond Hill,111.42,900,450,240
Ridithenna,297.05,1850,950,460
Rozella,167.79,1250,650,320
Saliyapura,210.67,1450,750,360
Sankathanai,378.16,2200,1100,560
Sarasavi Uyana,115.69,950,500,240
Sawarana,79.66,700,350,180
Secretarial,0.67,100,50,20
Seeduwa,28.06,300,150,80
Senarathgama,170.08,1250,650,320
Sewanapitiya,278.9,1750,900,440
Shrawasthipura,198.4,1400,700,360
Sinigama,92.73,800,400,200
Siyambalangam,165.53,1200,600,300
Talaimannar Pie,336.97,2000,1000,500
Talawa,189.94,1350,700,340
Talpe,124.35,1000,500,260
Tandikulam,257.08,1650,850,420
Thachchanthop,385.55,2250,1150,560
Thalaimannar,334.75,2000,1000,500
Thalawakele,187.86,1350,700,340
Thalawattegeda,81.12,700,350,180
Thambalagamu,275.08,1750,900,440
Thambuttegama,178.96,1300,650,320
Thellipalai,409.46,2350,1200,580
Thelwatta,91.98,800,400,200
Thembiligala,130.87,1050,550,260
Thilladiya,132.26,1050,550,260
Thimbiriyagedar,132.93,1050,550,260
Thirukethiswara,300.43,1850,950,460
Thismalpola,78.95,700,350,180
Thoddaveli,316.84,1950,1000,480
Thudella,23.93,250,150,60
Thummodara,59.32,600,300,140
Train Holt 1,36.06,400,200,100
Tricomalee,296.91,1850,950,460
Udahamulla,13.42,150,100,40
Udathalawinna,128.78,1000,500,260
Udaththawala,141.77,1100,550,280
Uduwara,283.22,1800,900,440
Uggalla,40.76,400,200,100
Ukuwela,143.02,1100,550,280
Ulapane,134.31,1050,550,260
Unawatuna,119.53,950,500,240
Vandaramulle,335.17,2000,1000,500
Vavniya,254.36,1650,850,420
Veyangoda,37.48,400,200,100
Wadduwa,32.47,350,200,80
Waga,46.3,500,250,120
Waikkala,46.65,500,250,120
Walachchena,319.13,1950,1000,480
Walahapitiya,65.16,600,300,160
Walakumbura,69.78,650,350,160
Walgama,154.1,1150,600,300
Walpola,18.12,200,100,60
Wanawasala,8.68,100,50,40
Wandurawa,39.33,400,200,100
Watagoda,194.3,1400,700,340
Watareka,33.16,350,200,100
Watawala,162.1,1200,600,300
Wattegama,132.89,1050,550,260
Weddikulam,252.24,1650,850,420
Weherahena,160.77,1200,600,300
Weligama,142.83,1100,550,280
Welikanda,286.01,1800,900,460
Wellawa,105,900,450,220
Wellawatta,7.25,100,50,20
Wewurukannal,174.27,1250,650,320
Wijaya Rajadah,49.1,500,250,120
Wilwatta,52.11,550,300,140
Yagoda,24.32,250,150,80
Yatagama,82.56,750,400,180
Yattalgoda,59.85,600,300,140
